Mã sản phẩm='5', Tên='e', Giá=9, Số lượng=7, Mô tả='t'
Mã sản phẩm='9', Tên='j', Giá=7, Số lượng=4, Mô tả='d'
Mã sản phẩm='3', Tên='c', Giá=6, Số lượng=4, Mô tả='e'
Mã sản phẩm='6', Tên='f', Giá=5, Số lượng=4, Mô tả='a'
Mã sản phẩm='10', Tên='k', Giá=5, Số lượng=2, Mô tả='n'
Mã sản phẩm='2', Tên='b', Giá=4, Số lượng=1, Mô tả='a'
Mã sản phẩm='2', Tên='2', Giá=2, Số lượng=2, Mô tả='2'
Mã sản phẩm='1', Tên='a', Giá=1, Số lượng=2, Mô tả='s'
Mã sản phẩm='7', Tên='g', Giá=1, Số lượng=4, Mô tả='a'
Mã sản phẩm='1', Tên='1', Giá=1, Số lượng=1, Mô tả='1'
Mã sản phẩm='8', Tên='h', Giá=0, Số lượng=6, Mô tả='a'
